time,close
2021-09-30,66.73
2021-10-01,67.79
2021-10-02,69.14
2021-10-03,69.54
2021-10-04,65.37
2021-10-05,64.69
2021-10-06,60.11
2021-10-07,61.43
2021-10-08,60.45
2021-10-09,60.62
2021-10-10,56.88
2021-10-11,55.34
2021-10-12,54.3
2021-10-13,55.07
2021-10-14,56.28
2021-10-15,56.37
2021-10-16,57.57
2021-10-17,56.12
2021-10-18,55.53
2021-10-19,56.84
2021-10-20,59.63
2021-10-21,61.5
2021-10-22,65.59
2021-10-23,65.41
2021-10-24,64.71
2021-10-25,69.8
2021-10-26,68.91
2021-10-27,62.02
2021-10-28,64.47
2021-10-29,64.81
2021-10-30,62.51
2021-10-31,64.66
2021-11-01,65.09
2021-11-02,67.89
2021-11-03,76.48
2021-11-04,79.6
2021-11-05,74.26
2021-11-06,78.6
2021-11-07,87.91
2021-11-08,91.52
2021-11-09,88.9
2021-11-10,85.8
2021-11-11,88.61
2021-11-12,84.97
2021-11-13,97.78
2021-11-14,95.85
2021-11-15,93.9
2021-11-16,97.72
2021-11-17,107.97
2021-11-18,100.7
2021-11-19,112.31
2021-11-20,126.03
2021-11-21,128.67
2021-11-22,135.29
2021-11-23,123.86
2021-11-24,115.26
2021-11-25,119.3
2021-11-26,104.48
2021-11-27,113.75
2021-11-28,110.63
2021-11-29,120.84
2021-11-30,121.22
2021-12-01,119.76
2021-12-02,107.83
2021-12-03,108.51
2021-12-04,93.08
2021-12-05,86.52
2021-12-06,93.1
2021-12-07,89.65
2021-12-08,93.31
2021-12-09,85.47
2021-12-10,80.78
2021-12-11,86.55
2021-12-12,88.08
2021-12-13,79.14
2021-12-14,87.26
2021-12-15,101.3
2021-12-16,98.29
2021-12-17,110.79
2021-12-18,115.94
2021-12-19,107.6
2021-12-20,113.55
2021-12-21,123.27
2021-12-22,116.66
2021-12-23,121.37
2021-12-24,114.93
2021-12-25,114.86
2021-12-26,115.07
2021-12-27,113.96
2021-12-28,107.05
2021-12-29,103.11
2021-12-30,101.73
2021-12-31,109.4
2022-01-01,114.26
2022-01-02,113.21
2022-01-03,108.09
2022-01-04,103.3
2022-01-05,97.36
2022-01-06,95.14
2022-01-07,86.79
2022-01-08,83.91
2022-01-09,89.34
2022-01-10,84.46
2022-01-11,89.66
2022-01-12,96.02
2022-01-13,89.76
2022-01-14,90.41
2022-01-15,93.08
2022-01-16,92.34
2022-01-17,86.68
2022-01-18,86.02
2022-01-19,82.64
2022-01-20,79.35
2022-01-21,66.07
2022-01-22,59.8
2022-01-23,64.85
2022-01-24,63.05
2022-01-25,68.08
2022-01-26,65.89
2022-01-27,64.73
2022-01-28,67.06
2022-01-29,71.95
2022-01-30,67.98
2022-01-31,69.92
2022-02-01,73.37
2022-02-02,67.87
2022-02-03,68.49
2022-02-04,77.91
2022-02-05,77.09
2022-02-06,79.05
2022-02-07,83.23
2022-02-08,86.45
2022-02-09,90.18
2022-02-10,91.18
2022-02-11,81.81
2022-02-12,81.34
2022-02-13,77.97
2022-02-14,81.84
2022-02-15,93.07
2022-02-16,95.39
2022-02-17,88.28
2022-02-18,83.75
2022-02-19,85.07
2022-02-20,77.39
2022-02-21,70.08
2022-02-22,74.42
2022-02-23,73.5
2022-02-24,76.41
2022-02-25,81.05
2022-02-26,81.79
2022-02-27,75.09
2022-02-28,84.59
2022-03-01,86.96
2022-03-02,83.43
2022-03-03,78.49
2022-03-04,75.82
2022-03-05,76.71
2022-03-06,72.47
2022-03-07,71.75
2022-03-08,72.98
2022-03-09,77.65
2022-03-10,73.95
2022-03-11,71.25
2022-03-12,70.94
2022-03-13,67.97
2022-03-14,68.98
2022-03-15,69.83
2022-03-16,74.12
2022-03-17,79.47
2022-03-18,85.76
2022-03-19,89.58
2022-03-20,84.85
2022-03-21,86.22
2022-03-22,83.98
2022-03-23,86.01
2022-03-24,87.61
2022-03-25,83.58
2022-03-26,85.96
2022-03-27,89.91
2022-03-28,89.58
2022-03-29,92.79
2022-03-30,95.57
2022-03-31,97.42
2022-04-01,96.87
2022-04-02,96.25
2022-04-03,98.06
2022-04-04,96.2
2022-04-05,91.07
2022-04-06,82.99
2022-04-07,87.58
2022-04-08,83.69
2022-04-09,84.56
2022-04-10,80.99
2022-04-11,74.37
2022-04-12,76.36
2022-04-13,80.25
2022-04-14,76.84
2022-04-15,77.44
2022-04-16,77.78
2022-04-17,75.45
2022-04-18,77.73
2022-04-19,80.28
2022-04-20,78.24
2022-04-21,75.03
2022-04-22,74.01
2022-04-23,72.81
2022-04-24,71.54
2022-04-25,72.91
2022-04-26,68.7
2022-04-27,69.85
2022-04-28,67.28
2022-04-29,63.4
2022-04-30,57.01
2022-05-01,58.76
2022-05-02,60.31
2022-05-03,59.63
2022-05-04,67.28
2022-05-05,59.02
2022-05-06,57
2022-05-07,55.03
2022-05-08,51.57
2022-05-09,41.21
2022-05-10,44.54
2022-05-11,31.1
2022-05-12,30.19
2022-05-13,32.17
2022-05-14,33.89
2022-05-15,36.54
2022-05-16,32.49
2022-05-17,34.38
2022-05-18,29.57
2022-05-19,30.37
2022-05-20,28.76
2022-05-21,29.88
2022-05-22,31.68
2022-05-23,29.04
2022-05-24,29.03
2022-05-25,27.21
2022-05-26,23.4
2022-05-27,22.55
2022-05-28,24.73
2022-05-29,26.13
2022-05-30,27.7
2022-05-31,26.41
2022-06-01,23.66
2022-06-02,24.63
2022-06-03,22.98
2022-06-04,24.57
2022-06-05,24.15
2022-06-06,25.99
2022-06-07,24.56
2022-06-08,24.49
2022-06-09,24.41
2022-06-10,22.05
2022-06-11,19.89
2022-06-12,17.27
2022-06-13,16.09
2022-06-14,16.54
2022-06-15,18.29
2022-06-16,15.77
2022-06-17,15.98
2022-06-18,14.8
2022-06-19,16.15
2022-06-20,17.08
2022-06-21,16.89
2022-06-22,16.06
2022-06-23,18.29
2022-06-24,20.46
2022-06-25,21.34
2022-06-26,19.71
2022-06-27,19.33
2022-06-28,18.08
2022-06-29,17.76
2022-06-30,16.97
2022-07-01,16.09
2022-07-02,16.31
2022-07-03,16.63
2022-07-04,17.9
2022-07-05,18.03
2022-07-06,19.15
2022-07-07,20.18
2022-07-08,19.7
2022-07-09,19.9
2022-07-10,19.16
