time,open,high,low,close,Kalman
2023-05-18,1.17,1.17,1.1279,1.1416,1.1416
2023-05-19,1.1423,1.1589,1.1184,1.132,1.1396481612704552
2023-05-20,1.1316,1.1348,1.1117,1.1249,1.1371224032552578
2023-05-21,1.1239,1.1524,1.0577,1.0748,1.127858743788666
2023-05-22,1.0737,1.078,1.0362,1.051,1.1177191505785662
2023-05-23,1.0506,1.1151,1.0258,1.0536,1.1100797862927914
2023-05-24,1.0539,1.0539,0.9173,0.9803,1.0959191475896555
2023-05-25,0.9826,1.0103,0.9387,0.9834,1.0845457022563347
2023-05-26,0.9844,1.0095,0.9653,0.9909,1.0756922530209272
2023-05-27,0.9908,1.0159,0.9838,1.0001,1.0689532228986174
2023-05-28,0.997,1.0715,0.994,1.0623,1.0683900008679517
2023-05-29,1.0636,1.0998,1.0255,1.0407,1.0661506643959322
2023-05-30,1.0443,1.0632,0.9989,1.0019,1.0611606236818958
2023-05-31,1.0011,1.01,0.945,0.9741,1.0546372264441461
2023-06-01,0.9754,0.9794,0.9407,0.944,1.0466069311573176
2023-06-02,0.9464,0.9619,0.9075,0.9408,1.0391412973516791
2023-06-03,0.9406,0.9504,0.9092,0.9308,1.031686552177787
2023-06-04,0.9316,0.9777,0.9278,0.96,1.0268629701009178
2023-06-05,0.9599,0.9697,0.7509,0.8184,1.0131122981463099
2023-06-06,0.8179,0.8494,0.7559,0.8276,1.001090205312944
2023-06-07,0.8258,0.8291,0.735,0.7576,0.9855575936968471
2023-06-08,0.7575,0.7933,0.7159,0.7288,0.9694068901837614
2023-06-09,0.73,0.763,0.7118,0.7389,0.9550875219535526
2023-06-10,0.7396,0.7404,0.51,0.6121,0.9340166151066813
2023-06-11,0.6099,0.6244,0.5879,0.605,0.9140034552138512
2023-06-12,0.6057,0.6885,0.57,0.6622,0.8988216816056298
2023-06-13,0.6625,0.7299,0.6619,0.6979,0.8868026572949448
2023-06-14,0.6977,0.7115,0.6297,0.6503,0.8727540641734821
2023-06-15,0.6489,0.6586,0.6187,0.6482,0.8594983168806427
2023-06-16,0.6464,0.7271,0.6237,0.7055,0.8504580429836499
2023-06-17,0.705,0.7796,0.7049,0.7504,0.8446133259647413
2023-06-18,0.751,0.7954,0.714,0.7177,0.8372325947996462
2023-06-19,0.7218,0.7924,0.7099,0.7827,0.8340736778767944
2023-06-20,0.784,0.8279,0.75,0.8167,0.8330707953067291
2023-06-21,0.8158,0.85,0.7694,0.8309,0.8329458788811668
2023-06-22,0.8305,0.8907,0.7925,0.8087,0.831554552755277
2023-06-23,0.8098,0.8349,0.7767,0.7986,0.8296681752199623
2023-06-24,0.798,0.798,0.7263,0.7535,0.8253178030578109
2023-06-25,0.7549,0.78,0.7411,0.745,0.8207394526916028
2023-06-26,0.743,0.7588,0.7124,0.7255,0.8153200464262194
2023-06-27,0.7246,0.7569,0.7023,0.7196,0.8098818055781895
2023-06-28,0.7178,0.7191,0.6377,0.6638,0.8015938687560528
2023-06-29,0.6633,0.7283,0.6609,0.6798,0.7946924802915604
2023-06-30,0.6803,0.7116,0.6278,0.6889,0.7887044308565273
2023-07-01,0.6883,0.6889,0.6673,0.6888,0.7830552271312651
2023-07-02,0.6875,0.6932,0.6611,0.6918,0.777899631871289
2023-07-03,0.6887,0.7167,0.6856,0.7,0.773502022679418
2023-07-04,0.6961,0.7367,0.6813,0.6877,0.768661681628872
2023-07-05,0.688,0.6901,0.6461,0.6611,0.7625975831924265
2023-07-06,0.6613,0.681,0.6347,0.6479,0.7561347557518259
2023-07-07,0.6494,0.6673,0.6412,0.6608,0.7507656075459865
2023-07-08,0.6611,0.6675,0.642,0.6526,0.745239457378015
2023-07-09,0.6518,0.6655,0.6511,0.6568,0.7402627811629569
2023-07-10,0.6568,0.666,0.6292,0.6565,0.7355509151224104
2023-07-11,0.654,0.6688,0.6442,0.656,0.7310773674455481
2023-07-12,0.6569,0.6865,0.646,0.656,0.7268565585941603
2023-07-13,0.6563,0.7333,0.6494,0.6984,0.7252571409054903
2023-07-14,0.7002,0.7778,0.6586,0.6806,0.7227477115065941
2023-07-15,0.6807,0.6978,0.668,0.6838,0.7205595419670423
2023-07-16,0.6852,0.6938,0.6631,0.672,0.7178318342353651
2023-07-17,0.669,0.7311,0.6666,0.7203,0.7179704555674987
2023-07-18,0.7255,0.8056,0.707,0.7364,0.7190053837074301
2023-07-19,0.7364,0.775,0.7028,0.7103,0.7185165851402594
